numIDtest_loss,kempt,kabs,Gb,SG,p2,SI,kd,ka2
2,0.07414505,0.1868279707431793,0.012405038595199586,118.54002047806978,0.02619682922959328,0.011752750754356384,0.000714735664530047,0.02610130989551544,0.014148480534553528
3,1.4250015,0.2056536903977394,0.01405047869682312,128.06326630845666,0.025418108329176903,0.011976758837699891,0.0007127490609884262,0.027476178765296934,0.014325331836938859
4,1.4573618,0.20499327152967453,0.013160060584545136,113.68418812036514,0.02817826233804226,0.012098864614963532,0.0006802135631955902,0.02601892867684364,0.014174023300409318
7,0.23809724,0.18111203044652938,0.01181762158870697,117.59781421691179,0.02502976804971695,0.011797130227088929,0.0007129404088546489,0.0254336057305336,0.013982305586338043
8,0,nan,nan,nan,nan,nan,nan,nan,nan
9,0.5252987,0.18156595677137374,0.010618857264518737,129.78135910347103,0.024859906733036043,0.012164796352386474,0.000748798743712491,0.0270282943546772,0.014345681309700013
11,0.89348745,0.1807007297873497,0.012511990427970887,137.18857996031642,0.024879274517297746,0.012087363302707672,0.0007448967044209611,0.027506578862667084,0.015482619047164917
12,2.6897104,0.165685533285141,0.010078819513320923,107.41827363967896,0.02763161733746529,0.012176795303821564,0.0007280447648517016,0.0255624657869339,0.014669689059257508
13,0.4608009,0.1676081782579422,0.010920901894569398,120.63136696413159,0.02320733740925789,0.012095355033874511,0.0007148109485876971,0.025162530124187468,0.014294339388608933
14,0.22801225,0.17615451157093048,0.010890798568725586,124.6039129051566,0.02480589970946312,0.01235797083377838,0.0007091745254294625,0.025929617106914517,0.014151619166135788
2,0.12987201,0.18230126827955245,0.012308468520641326,119.08719697237014,0.026062436029314996,0.01184749138355255,0.0007144904542072066,0.026314726203680038,0.013967039048671723
3,1.9320501,0.20819127336144447,0.014059057742357254,127.65711506813764,0.025391371175646785,0.012279550909996034,0.0007467260921309733,0.02581236135959625,0.014289338856935502
4,1.2937212,0.20262983232736587,0.0132692329287529,114.97451336503029,0.028588915616273882,0.011530911684036254,0.0007519311263643461,0.02601505011320114,0.013902765214443207
7,0.2568099,0.17981124222278594,0.011885569095611573,119.03638435363769,0.025394919142127038,0.012014680624008178,0.0007168733573679265,0.025508794307708738,0.013931283056735994
8,0,nan,nan,nan,nan,nan,nan,nan,nan
9,0.385546,0.18433699518442154,0.010482909321784974,126.70287844374775,0.02412814572453499,0.012392999053001404,0.0006838887185885988,0.025628121256828305,0.013672656059265136
11,1.1264557,0.1786187535524368,0.012537761628627778,137.25368629083036,0.025050134956836702,0.012083535969257354,0.0007572861968957144,0.026957933545112608,0.014722406804561616
12,1.4075185,0.1612011855840683,0.010396927356719972,104.78002936184406,0.028198799677193166,0.011907498121261597,0.0007016205498884463,0.027089164674282074,0.013322367250919342
13,0.4792002,0.16919788062572477,0.010819045901298523,120.08667394012213,0.022984524071216584,0.011532125115394592,0.0007146805469845903,0.02622630766034126,0.014099361211061479
14,0.248263,0.1745318341255188,0.010882988333702088,125.59153525203466,0.024750401824712755,0.012060069680213928,0.0007156572294646296,0.025440022349357605,0.014104438096284866
2,7.9977508,0.13684473752975462,0.009024344086647033,89.44754533141851,0.03121457795496099,0.010173849105834961,0.0007531666124175335,0.02743477138876915,0.01337390673160553
